province,fy,overall_score,hf_count
east,2020-2021,73.58168979790601,34
east,2021-2022,49.876758010729304,41
east,2023-2024,49.062933826931975,43
kigali,2023-2024,56.27586206896552,17
north,2020-2021,63.28694499668654,25
north,2023-2024,52.972080456319425,34
south,2020-2021,68.14921090387375,36
south,2021-2022,60.96779632439724,49
south,2023-2024,65.79490708878183,9
west,2022-2023,44.524560612888685,39
west,2023-2024,73.36244541484717,8
