hf_tb_type,fy,overall_score,hf_count
CDT,2020-2021,81.47098065376917,49
CDT,2021-2022,60.871343833094706,49
CDT,2022-2023,52.41678726483357,20
CDT,2023-2024,62.72445373909281,71
CT,2020-2021,54.547166258708344,46
CT,2021-2022,52.555394722191295,41
CT,2022-2023,36.00874453466583,19
CT,2023-2024,37.23137036003349,41
